short_name,AKBNK,ARCLK,ASELS,BIMAS,DOHOL,EKGYO,EREGL,FROTO,GARAN,GUBRF,HALKB,ISCTR,KCHOL,KOZAA,KOZAL,KRDMD,PETKM,PGSUS,SAHOL,SASA,SISE,TAVHL,TCELL,THYAO,TKFEN,TTKOM,TUPRS,VAKBN,VESTL,YKBNK
SISE,0.9279588943621161,0.9852984057412643,0.9669493174686432,0.9317007190826474,0.9713765580699834,0.9729516089537247,0.925723169869444,0.9707280124325844,0.9340956923280718,0.9685004530872626,,0.9432914886880416,0.9612846559640237,0.9693830867642065,0.9677880760114855,0.9568087706467625,0.9700239865592047,0.9676779171462394,0.9882789046663545,0.9684290193321626,,0.979017113001101,0.9606221436973869,0.9663186747415876,0.9424769764107599,0.9708481963343089,0.9384212371253081,,0.9493412638945606,0.9629613907146701
TAVHL,0.9568574009361746,0.9702279823891923,0.9609643626206051,0.9463947911426688,0.9644132411573164,0.9478234489379395,,0.9632201556774785,0.9637764972821682,0.9557098382166354,,0.9591465073134366,0.9736367184821166,0.9574498382390755,0.9428549056618875,0.9418052099695486,0.9636090427016804,0.9723271817158751,0.9860946689260003,0.9412750552163701,0.979017113001101,,0.9635239307270741,0.9761756098196851,0.9625135377156916,0.9524079189343871,0.9579486264411645,,0.9244242792684352,0.977919477311566
TCELL,0.9640007102076189,0.966941288758517,0.9856503321832969,0.9714204675241959,0.9840133002204163,0.9465675194913884,,0.9766338814220726,0.9707793701970924,0.9776262155127112,,0.9649549769763196,0.9854880012834558,0.9650346795287482,0.9570257372694031,0.9475032460343694,0.9478510348494321,0.980771220231303,0.9825619125728539,0.9093410674706364,0.9606221436973869,0.9635239307270741,,0.9737259401242231,0.9261813566449886,0.9682204518319429,0.9656823327957912,,0.9309618829933102,0.9760023608397003
THYAO,0.978084307808341,0.9556574652575957,0.9756195331592723,0.951404266709565,0.9716701096120386,0.9603905535855379,,0.9682349910180995,0.9772241981195918,0.9587232641397423,,0.97082755940253,0.9866131265300746,0.9389626831877721,0.957290677306817,0.9213452109228416,0.9237739351562934,0.9930364101033123,0.987893892987553,0.9244340185984996,0.9663186747415876,0.9761756098196851,0.9737259401242231,,0.9421599570295094,0.94645415779262,0.9688839805791886,0.9073101468139083,,0.9833206281954746
TKFEN,0.9278159473705371,0.921665323999705,0.9301251524048574,,0.9238575979668842,0.927384453713892,,0.9050496250135611,0.9210500193444402,0.9184013619927835,,0.9299786377390012,0.932124244628894,0.9156834021775857,0.9244518475073322,,0.9227694624348256,0.9345731133381648,0.9461420298428498,0.9016335353956989,0.9424769764107599,0.9625135377156916,0.9261813566449886,0.9421599570295094,,0.9208484594906788,0.9276864624892404,,,0.939731954071842
TTKOM,0.9149329912221288,0.9666608842768781,0.9681600199229919,0.9151358382220302,0.9697626720067409,0.9712441516116812,0.9096609278865398,0.9519297911487883,0.9190448768990034,0.9714738912816465,,0.9244182705569206,0.94458413750411,0.9774312149083498,0.9768382325063097,0.9434544322330789,0.9586731334798395,0.9583027331638725,0.9707193331616509,0.9366263544561448,0.9708481963343089,0.9524079189343871,0.9682204518319429,0.94645415779262,0.9208484594906788,,0.9152993271132134,,0.9632955194109906,0.9453239780556708
TUPRS,0.9787156442159367,0.9423260375510266,0.9652999743327496,0.9680680198310767,0.9569632484506801,0.9054796726099964,,0.9481382131541647,0.97563704690573,0.9394559331839063,,0.9861149440959684,0.9838653296640854,0.9181650676613219,0.918707970206371,0.9170898432350961,0.9111983454808315,0.9636006352233744,0.9653918152450031,,0.9384212371253081,0.9579486264411645,0.9656823327957912,0.9688839805791886,0.9276864624892404,0.9152993271132134,,0.9057117829466245,,0.975505221102106
VAKBN,0.9454688109117356,,0.9010064682827117,,,,,,0.9233722370212302,,0.9380952533380466,0.9343975580771425,,,,,,,,,,,,0.9073101468139083,,,0.9057117829466245,,,0.9309595140899249
VESTL,,0.9469747668717117,0.9333153221498597,,0.9497540954736332,0.9395857552697103,0.9356755189640295,0.9304910268516711,,0.9635178060936076,,,0.9007429706320306,0.9646110321250957,0.9477312161672812,0.9426489677938337,0.9686190965678165,0.9140219145862818,0.9314189501906774,0.9303344321278396,0.9493412638945606,0.9244242792684352,0.9309618829933102,,,0.9632955194109906,,,,0.9021106101066511
YKBNK,0.9858912939353367,0.9575736840774915,0.9744413219239417,0.9704278550343293,0.9739301370664256,0.943501871915385,,0.9650140114845112,0.9855391956928273,0.9595181150546973,,0.9887071378173841,0.9894025474631152,0.942139483480117,0.9373985423009897,0.9304368960897432,0.9400299311892861,0.9785880138556518,0.9876696041775255,0.9160848877608012,0.9629613907146701,0.977919477311566,0.9760023608397003,0.9833206281954746,0.939731954071842,0.9453239780556708,0.975505221102106,0.9309595140899249,0.9021106101066511,
